Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2000-01-03,0.08943967521190643,0.09099230352964992,0.0843049141477934,0.09027606009992799,300912000
2000-01-04,0.08705154061317444,0.08812636301554945,0.08263302520315538,0.0878870094828438,300480000
2000-01-05,0.08418568223714828,0.08597674833624644,0.08299163361587082,0.08454426169601582,188352000
2000-01-06,0.07869228720664978,0.08418562308395541,0.07546872989954181,0.08418562308395541,120480000
2000-01-07,0.08000651746988297,0.08084197971323678,0.07714062205480729,0.07833467055283272,71184000
2000-01-10,0.08263304084539413,0.08597673448599147,0.07881246441089498,0.08024495082036197,239856000
2000-01-11,0.07928936183452606,0.08311086140442171,0.07928936183452606,0.08215525761253749,148128000
2000-01-12,0.07725980877876282,0.07940946004969601,0.07618498655970347,0.07928931867236869,123552000
2000-01-13,0.08048339188098907,0.08120055064975559,0.07618501042272126,0.07714061399372911,132192000
2000-01-14,0.08394630998373032,0.0872900036928033,0.08143900091707963,0.08167836133281318,604560000
2000-01-18,0.08752936124801636,0.08788702504728288,0.08120055344514648,0.0850211298330283,261648000
2000-01-19,0.08669298887252808,0.08788703745546297,0.08597674557541235,0.08788703745546297,164688000
2000-01-20,0.08645454049110413,0.09218632466151111,0.08573829722329368,0.08741014419082585,179568000
2000-01-21,0.08549894392490387,0.08657376662917621,0.08334929168354162,0.08621518719523338,544272000
2000-01-24,0.0816783681511879,0.08824561469453589,0.08120056287732544,0.08824561469453589,256944000
2000-01-25,0.0809611976146698,0.08287240493053728,0.07833466949264291,0.08203602026816056,237120000
2000-01-26,0.07761750370264053,0.0831108496225677,0.07618501723193485,0.08096119748618051,232464000
2000-01-27,0.07355757802724838,0.07821453273888183,0.07069168247976645,0.07821453273888183,458208000
2000-01-28,0.07140882313251495,0.07308066970013723,0.06854293514924786,0.07260287138097571,194448000
2000-01-31,0.07081181555986404,0.0733191245403451,0.0668710977595344,0.07176649673188105,182400000
2000-02-01,0.07248272001743317,0.07308065965682392,0.06830356538778437,0.07093101506546103,92976000
2000-02-02,0.07451315969228745,0.07594656838848872,0.07248273367423175,0.07284131303942315,149040000
2000-02-03,0.07570721209049225,0.07845388138989473,0.07522940688834732,0.07690125363150624,108240000
2000-02-04,0.07749830931425095,0.07809533374380097,0.07594660335548548,0.07809533374380097,123696000
2000-02-07,0.07272212207317352,0.07785688298797397,0.07260290304891963,0.07785688298797397,217488000
